case_no,checking_status,credit_history,purpose,credit_amount,saving_status,employment,personal_status,age,existing_credits,job,num_dependents,class
28,'>=200','all paid',radio/tv,'0<=X<2000','>=1000','1<=X<4','female div/dep/mar','36<=X<46',2,skilled,1,good
29,'0<=X<200','existing paid',radio/tv,'2000<=X<4000','<100','1<=X<4','male single','26<=X<36',1,skilled,1,good
30,'<0','delayed previously',business,'6000<=X<8000','<100','>=7','male single','56<=X<66',2,skilled,1,bad
31,'0<=X<200','existing paid',business,'0<=X<2000','>=1000','<1','male mar/wid','36<=X<46',1,skilled,1,good
32,'<0','existing paid',furniture/equipment,'4000<=X<6000','<100','1<=X<4','male single','26<=X<36',1,skilled,1,good
33,'0<=X<200','existing paid','new car','4000<=X<6000','100<=X<500','1<=X<4','male single','26<=X<36',2,skilled,1,good
34,'no checking','critical/other existing credit',business,'0<=X<2000','no known savings','>=7','male single','56<=X<66',1,'unskilled resident',1,good
35,'>=200','existing paid',furniture/equipment,'0<=X<2000','<100','<1','female div/dep/mar','26<=X<36',1,'high qualif/self emp/mgmt',1,good
36,'0<=X<200','critical/other existing credit',radio/tv,'4000<=X<6000','<100','<1','male single','18<=X<26',2,'unskilled resident',1,bad
37,'no checking','critical/other existing credit',education,'6000<=X<8000','<100','1<=X<4','male single','26<=X<36',1,skilled,1,good
38,'>=200','existing paid',radio/tv,'2000<=X<4000','<100','1<=X<4','male single','36<=X<46',1,skilled,1,bad
39,'>=200','existing paid','domestic appliance','0<=X<2000','<100','1<=X<4','male single','36<=X<46',1,skilled,1,good
40,'0<=X<200','existing paid',radio/tv,'0<=X<2000','<100','1<=X<4','male single','18<=X<26',1,skilled,1,good
41,'no checking','existing paid',radio/tv,'2000<=X<4000','500<=X<1000','>=7','male single','26<=X<36',1,'high qualif/self emp/mgmt',1,good
42,'0<=X<200','existing paid',radio/tv,'0<=X<2000','500<=X<1000','1<=X<4','male div/sep','26<=X<36',1,skilled,1,good
43,'0<=X<200','delayed previously',repairs,'6000<=X<8000','<100','1<=X<4','male single','36<=X<46',1,'unskilled resident',2,good
44,'<0','critical/other existing credit','used car','6000<=X<8000','100<=X<500','4<=X<7','male mar/wid','18<=X<26',2,skilled,1,good
45,'<0','critical/other existing credit','used car','6000<=X<8000','<100','>=7','female div/dep/mar','56<=X<66',2,'unskilled resident',1,bad
46,'no checking','critical/other existing credit','new car','0<=X<2000','<100','<1','female div/dep/mar','26<=X<36',2,'high qualif/self emp/mgmt',1,good
47,'no checking','existing paid',radio/tv,'2000<=X<4000','500<=X<1000','>=7','male single','36<=X<46',1,skilled,1,good
48,'<0','existing paid','used car','0<=X<2000','500<=X<1000',unemployed,'female div/dep/mar','18<=X<26',1,'unemp/unskilled non res',1,good
49,'no checking','critical/other existing credit','new car','6000<=X<8000','<100','1<=X<4','male single','36<=X<46',2,'unskilled resident',1,good
50,'no checking','existing paid',radio/tv,'2000<=X<4000','100<=X<500','1<=X<4','female div/dep/mar','26<=X<36',1,skilled,1,good
51,'0<=X<200','delayed previously',furniture/equipment,'2000<=X<4000','no known savings','<1','male single','26<=X<36',1,'unskilled resident',1,good
52,'0<=X<200','delayed previously','used car','4000<=X<6000','<100','>=7','male single','26<=X<36',2,'high qualif/self emp/mgmt',1,good
53,'no checking','existing paid',radio/tv,'0<=X<2000','<100','1<=X<4','male single','18<=X<26',1,skilled,1,good
54,'no checking','existing paid','used car','2000<=X<4000','no known savings','1<=X<4','male single','18<=X<26',1,skilled,1,good
55,'0<=X<200','delayed previously','new car','2000<=X<4000','<100','>=7','male single','56<=X<66',2,skilled,1,bad
56,'no checking','all paid','new car','0<=X<2000','no known savings','1<=X<4','male single','26<=X<36',1,'unskilled resident',2,good
57,'0<=X<200','existing paid',radio/tv,'6000<=X<8000','no known savings',unemployed,'male single','46<=X<56',1,'high qualif/self emp/mgmt',1,bad
58,'no checking','critical/other existing credit',radio/tv,'8000<=X<10000','<100','1<=X<4','female div/dep/mar','26<=X<36',2,skilled,1,good
59,'>=200','existing paid','new car','0<=X<2000','<100','>=7','female div/dep/mar','18<=X<26',1,'high qualif/self emp/mgmt',1,good
60,'<0','critical/other existing credit',furniture/equipment,'6000<=X<8000','<100','<1','female div/dep/mar','18<=X<26',2,'unskilled resident',1,bad
61,'0<=X<200','existing paid',business,'0<=X<2000','<100','1<=X<4','male mar/wid','26<=X<36',1,skilled,1,good
62,'0<=X<200','critical/other existing credit',radio/tv,'0<=X<2000','no known savings','>=7','male single','46<=X<56',2,skilled,1,good
63,'0<=X<200','no credits/all paid',business,'0<=X<2000','<100','>=7','male single','56<=X<66',1,'high qualif/self emp/mgmt',1,bad
64,'0<=X<200','no credits/all paid',business,'14000<=X<16000','<100','1<=X<4','male single','18<=X<26',1,skilled,1,bad
65,'no checking','existing paid',radio/tv,'2000<=X<4000','<100','<1','female div/dep/mar','26<=X<36',1,'unskilled resident',1,good
66,'no checking','existing paid',repairs,'4000<=X<6000','no known savings','>=7','male single','46<=X<56',4,skilled,2,good
67,'no checking','existing paid',radio/tv,'2000<=X<4000','<100','<1','female div/dep/mar','26<=X<36',1,skilled,1,good
68,'0<=X<200','existing paid','new car','0<=X<2000','>=1000','1<=X<4','male mar/wid','18<=X<26',1,skilled,1,good
69,'no checking','existing paid',education,'0<=X<2000','<100','1<=X<4','male single','36<=X<46',1,'unskilled resident',1,bad
70,'no checking','existing paid',radio/tv,'2000<=X<4000','no known savings','1<=X<4','female div/dep/mar','18<=X<26',1,skilled,1,good
71,'no checking','existing paid','used car','8000<=X<10000','<100','1<=X<4','female div/dep/mar','26<=X<36',1,skilled,1,good
72,'no checking','critical/other existing credit',radio/tv,'0<=X<2000','no known savings','>=7','male single','46<=X<56',2,'unskilled resident',1,good
73,'<0','critical/other existing credit',other,'0<=X<2000','<100','>=7','male single','46<=X<56',2,'high qualif/self emp/mgmt',2,good
74,'0<=X<200','critical/other existing credit',business,'4000<=X<6000','<100','4<=X<7','female div/dep/mar','36<=X<46',2,'unskilled resident',1,good
75,'<0','existing paid',education,'0<=X<2000','no known savings','>=7','male single','36<=X<46',1,'high qualif/self emp/mgmt',1,bad
76,'<0','critical/other existing credit','used car','0<=X<2000','<100','>=7','male single','66<=X<76',2,'high qualif/self emp/mgmt',1,good
77,'<0','existing paid',radio/tv,'2000<=X<4000','<100','<1','male single','26<=X<36',1,skilled,1,bad
78,'0<=X<200','delayed previously',radio/tv,'4000<=X<6000','<100','4<=X<7','male single','46<=X<56',1,skilled,1,good
79,'no checking','no credits/all paid','used car','8000<=X<10000','no known savings','1<=X<4','male single','36<=X<46',1,'unskilled resident',2,good
80,'0<=X<200','existing paid',furniture/equipment,'2000<=X<4000','<100','<1','male mar/wid','18<=X<26',1,skilled,1,good
81,'no checking','existing paid',radio/tv,'4000<=X<6000','no known savings','<1','female div/dep/mar','36<=X<46',2,skilled,1,bad
82,'no checking','existing paid',radio/tv,'0<=X<2000','500<=X<1000','>=7','male single','46<=X<56',1,skilled,1,good
83,'no checking','existing paid',business,'0<=X<2000','100<=X<500','1<=X<4','female div/dep/mar','18<=X<26',1,'unskilled resident',1,good
84,'<0','existing paid',other,'0<=X<2000','<100','>=7','female div/dep/mar','56<=X<66',1,'unskilled resident',1,good
85,'<0','existing paid',radio/tv,'2000<=X<4000','<100','>=7','male single','46<=X<56',1,'unskilled resident',1,good
86,'no checking','critical/other existing credit',business,'0<=X<2000','<100','1<=X<4','female div/dep/mar','26<=X<36',2,'high qualif/self emp/mgmt',1,good
87,'0<=X<200','critical/other existing credit',furniture/equipment,'0<=X<2000','<100','<1','female div/dep/mar','26<=X<36',2,skilled,1,good
88,'0<=X<200','existing paid',education,'12000<=X<14000','100<=X<500','1<=X<4','male single','46<=X<56',1,skilled,2,bad
89,'<0','existing paid','new car','2000<=X<4000','100<=X<500','4<=X<7','male single','26<=X<36',1,'high qualif/self emp/mgmt',2,good
90,'<0','no credits/all paid',repairs,'0<=X<2000','<100','4<=X<7','male single','26<=X<36',2,skilled,1,bad
91,'no checking','critical/other existing credit',radio/tv,'0<=X<2000','<100','>=7','male single','56<=X<66',1,skilled,1,good
92,'<0','critical/other existing credit','used car','0<=X<2000','<100','>=7','male single','46<=X<56',1,skilled,1,good
93,'no checking','critical/other existing credit',radio/tv,'0<=X<2000','no known savings','>=7','female div/dep/mar','26<=X<36',1,'unskilled resident',2,bad
94,'>=200','critical/other existing credit',furniture/equipment,'2000<=X<4000','no known savings','>=7','male single','18<=X<26',2,skilled,1,good
95,'0<=X<200','existing paid','new car','0<=X<2000','>=1000','>=7','male single','46<=X<56',1,skilled,1,good
96,'0<=X<200','no credits/all paid',business,'14000<=X<16000','<100','<1','male single','56<=X<66',1,skilled,1,bad
97,'no checking','critical/other existing credit',education,'2000<=X<4000','no known savings','4<=X<7','female div/dep/mar','56<=X<66',1,skilled,1,good
98,'0<=X<200','existing paid',business,'2000<=X<4000','100<=X<500','1<=X<4','male single','26<=X<36',1,skilled,1,good
99,'0<=X<200','critical/other existing credit',radio/tv,'2000<=X<4000','<100','>=7','male single','36<=X<46',1,skilled,1,good
100,'0<=X<200','delayed previously','used car','6000<=X<8000','no known savings','4<=X<7','male single','36<=X<46',2,'high qualif/self emp/mgmt',2,good
101,'no checking','existing paid','new car','0<=X<2000','100<=X<500','>=7','male mar/wid','36<=X<46',1,'unskilled resident',1,good
102,'0<=X<200','existing paid',radio/tv,'2000<=X<4000','<100','4<=X<7','male single','18<=X<26',1,skilled,1,good
103,'no checking','delayed previously',radio/tv,'0<=X<2000','<100','1<=X<4','female div/dep/mar','18<=X<26',1,skilled,1,good
104,'0<=X<200','critical/other existing credit',furniture/equipment,'0<=X<2000','<100','4<=X<7','male single','26<=X<36',1,skilled,1,good
105,'no checking','existing paid','used car','2000<=X<4000','no known savings','<1','male mar/wid','26<=X<36',1,skilled,1,good
106,'0<=X<200','critical/other existing credit',other,'10000<=X<12000','<100','1<=X<4','male single','36<=X<46',2,'high qualif/self emp/mgmt',2,bad
107,'no checking','all paid','new car','6000<=X<8000','<100','>=7','male single','36<=X<46',2,'high qualif/self emp/mgmt',2,bad
108,'0<=X<200','existing paid','new car','6000<=X<8000','<100','4<=X<7','male single','26<=X<36',1,skilled,1,good
109,'<0','existing paid',furniture/equipment,'6000<=X<8000','no known savings','<1','female div/dep/mar','26<=X<36',1,skilled,1,good
110,'0<=X<200','existing paid',business,'0<=X<2000','500<=X<1000','>=7','male mar/wid','26<=X<36',1,skilled,1,good
111,'0<=X<200','delayed previously',business,'0<=X<2000','100<=X<500','>=7','male div/sep','26<=X<36',2,skilled,2,good
112,'>=200','existing paid',education,'0<=X<2000','<100','<1','female div/dep/mar','18<=X<26',1,skilled,1,good
113,'0<=X<200','existing paid','new car','6000<=X<8000','<100','4<=X<7','male single','26<=X<36',1,'unskilled resident',1,good
114,'no checking','critical/other existing credit','new car','6000<=X<8000','<100','1<=X<4','female div/dep/mar','18<=X<26',2,skilled,1,bad
115,'<0','existing paid',radio/tv,'0<=X<2000','500<=X<1000','>=7','male mar/wid','26<=X<36',1,skilled,1,good
116,'no checking','critical/other existing credit',radio/tv,'2000<=X<4000','no known savings','>=7','male single','46<=X<56',1,skilled,1,good
117,'<0','existing paid',radio/tv,'6000<=X<8000','no known savings','4<=X<7','female div/dep/mar','26<=X<36',1,'high qualif/self emp/mgmt',1,bad
118,'<0','critical/other existing credit',furniture/equipment,'2000<=X<4000','no known savings','<1','female div/dep/mar','26<=X<36',2,skilled,1,good
119,'<0','critical/other existing credit',furniture/equipment,'4000<=X<6000','500<=X<1000','1<=X<4','female div/dep/mar','18<=X<26',2,skilled,1,bad
120,'0<=X<200','critical/other existing credit','new car','2000<=X<4000','500<=X<1000','4<=X<7','male div/sep','36<=X<46',1,'high qualif/self emp/mgmt',1,good
121,'<0','existing paid',radio/tv,'0<=X<2000','<100','1<=X<4','female div/dep/mar','18<=X<26',2,skilled,1,bad
122,'no checking','critical/other existing credit','used car','2000<=X<4000','<100','>=7','female div/dep/mar','36<=X<46',2,'high qualif/self emp/mgmt',1,good
123,'no checking','existing paid',furniture/equipment,'0<=X<2000','<100','1<=X<4','male single','18<=X<26',1,'unskilled resident',1,good
124,'>=200','critical/other existing credit','new car','0<=X<2000','<100','>=7','male single','56<=X<66',2,skilled,1,good
125,'0<=X<200','existing paid',furniture/equipment,'0<=X<2000','no known savings','<1','female div/dep/mar','26<=X<36',1,skilled,1,bad
126,'<0','critical/other existing credit','new car','2000<=X<4000','<100','1<=X<4','male single','26<=X<36',2,skilled,1,good
127,'<0','existing paid',radio/tv,'0<=X<2000','<100','1<=X<4','male mar/wid','36<=X<46',1,'unskilled resident',1,good
128,'0<=X<200','existing paid',repairs,'0<=X<2000','<100','1<=X<4','male single','26<=X<36',1,skilled,1,bad
129,'0<=X<200','critical/other existing credit','used car','0<=X<2000','<100',unemployed,'male single','26<=X<36',2,'high qualif/self emp/mgmt',1,good
130,'<0','critical/other existing credit','new car','2000<=X<4000','<100','1<=X<4','female div/dep/mar','26<=X<36',2,skilled,1,bad
131,'0<=X<200','existing paid','new car','8000<=X<10000','no known savings','4<=X<7','female div/dep/mar','18<=X<26',1,skilled,1,good
132,'<0','delayed previously',education,'6000<=X<8000','<100','1<=X<4','male single','26<=X<36',1,skilled,1,bad
133,'no checking','existing paid',furniture/equipment,'2000<=X<4000','<100','<1','male single','26<=X<36',2,'unskilled resident',1,good
134,'no checking','existing paid',furniture/equipment,'0<=X<2000','<100','1<=X<4','male single','46<=X<56',2,skilled,1,good
135,'no checking','existing paid',radio/tv,'10000<=X<12000','100<=X<500','4<=X<7','female div/dep/mar','18<=X<26',1,skilled,1,good
136,'no checking','critical/other existing credit',radio/tv,'0<=X<2000','no known savings','>=7','female div/dep/mar','36<=X<46',2,skilled,1,good
137,'no checking','delayed previously','used car','8000<=X<10000','>=1000','1<=X<4','male single','26<=X<36',2,skilled,1,good
138,'0<=X<200','existing paid',radio/tv,'0<=X<2000','500<=X<1000','1<=X<4','male single','66<=X<76',1,'unskilled resident',1,bad
139,'0<=X<200','critical/other existing credit',radio/tv,'2000<=X<4000','no known savings','4<=X<7','male single','26<=X<36',3,skilled,1,good
140,'>=200','existing paid',radio/tv,'0<=X<2000','<100','1<=X<4','female div/dep/mar','36<=X<46',1,'unskilled resident',1,good
141,'>=200','existing paid','new car','0<=X<2000','>=1000','<1','male mar/wid','26<=X<36',1,'unemp/unskilled non res',1,good
142,'0<=X<200','existing paid',radio/tv,'4000<=X<6000','<100','<1','female div/dep/mar','26<=X<36',1,'high qualif/self emp/mgmt',1,good
143,'<0','existing paid',radio/tv,'2000<=X<4000','<100','1<=X<4','male single','26<=X<36',1,'high qualif/self emp/mgmt',1,good
144,'<0','existing paid',furniture/equipment,'2000<=X<4000','<100','1<=X<4','male single','18<=X<26',1,skilled,1,bad
145,'no checking','critical/other existing credit',furniture/equipment,'2000<=X<4000','<100','<1','female div/dep/mar','18<=X<26',1,skilled,1,good
146,'0<=X<200','all paid',business,'2000<=X<4000','100<=X<500','4<=X<7','male single','26<=X<36',1,skilled,1,good
147,'<0','critical/other existing credit','new car','0<=X<2000','<100','>=7','female div/dep/mar','36<=X<46',2,skilled,1,good
148,'no checking','critical/other existing credit','new car','0<=X<2000','100<=X<500','4<=X<7','female div/dep/mar','46<=X<56',2,skilled,1,good
149,'<0','critical/other existing credit',furniture/equipment,'4000<=X<6000','<100','1<=X<4','male single','26<=X<36',2,skilled,1,good
150,'no checking','critical/other existing credit',radio/tv,'0<=X<2000','>=1000','>=7','male single','46<=X<56',2,skilled,1,good
151,'no checking','existing paid',radio/tv,'0<=X<2000','100<=X<500','>=7','male single','36<=X<46',1,skilled,2,good
152,'no checking','existing paid',radio/tv,'0<=X<2000','<100','1<=X<4','male single','36<=X<46',1,skilled,1,good
153,'>=200','existing paid',radio/tv,'4000<=X<6000','<100','1<=X<4','male single','18<=X<26',1,skilled,1,good
154,'0<=X<200','critical/other existing credit','used car','6000<=X<8000','>=1000','>=7','female div/dep/mar','26<=X<36',1,skilled,1,good
155,'0<=X<200','delayed previously',business,'6000<=X<8000','100<=X<500','4<=X<7','male single','36<=X<46',1,'high qualif/self emp/mgmt',1,good
156,'<0','existing paid',furniture/equipment,'0<=X<2000','<100','1<=X<4','female div/dep/mar','18<=X<26',1,skilled,1,bad
157,'<0','critical/other existing credit',repairs,'0<=X<2000','100<=X<500','>=7','male single','46<=X<56',2,skilled,2,good
158,'<0','all paid',retraining,'0<=X<2000','<100','>=7','male mar/wid','36<=X<46',1,'unskilled resident',1,good
159,'0<=X<200','existing paid','new car','2000<=X<4000','100<=X<500','4<=X<7','male single','36<=X<46',2,skilled,1,good
160,'no checking','critical/other existing credit',radio/tv,'0<=X<2000','no known savings','1<=X<4','male single','26<=X<36',2,'unskilled resident',2,good
161,'no checking','critical/other existing credit',radio/tv,'2000<=X<4000','100<=X<500','>=7','male single','36<=X<46',1,skilled,2,good
162,'no checking','critical/other existing credit','new car','0<=X<2000','<100','<1','female div/dep/mar','26<=X<36',2,skilled,1,good
163,'no checking','existing paid','domestic appliance','0<=X<2000','500<=X<1000','4<=X<7','male single','36<=X<46',2,skilled,1,good
164,'0<=X<200','existing paid','new car','6000<=X<8000','<100',unemployed,'male single','66<=X<76',1,'high qualif/self emp/mgmt',1,good
165,'no checking','existing paid','new car','0<=X<2000','500<=X<1000','>=7','male single','36<=X<46',1,skilled,1,good
166,'no checking','existing paid',furniture/equipment,'2000<=X<4000','500<=X<1000','1<=X<4','male single','26<=X<36',1,skilled,1,good
167,'<0','existing paid',furniture/equipment,'0<=X<2000','<100',unemployed,'female div/dep/mar','26<=X<36',1,skilled,1,bad
168,'0<=X<200','existing paid',furniture/equipment,'0<=X<2000','>=1000','<1','female div/dep/mar','18<=X<26',1,skilled,1,good
169,'no checking','existing paid',furniture/equipment,'2000<=X<4000','<100','4<=X<7','female div/dep/mar','18<=X<26',1,skilled,1,good
170,'0<=X<200','critical/other existing credit',business,'0<=X<2000','<100','>=7','male div/sep','26<=X<36',2,skilled,1,bad
171,'<0','no credits/all paid','new car','0<=X<2000','<100','>=7','male single','26<=X<36',2,skilled,2,bad
172,'no checking','existing paid',furniture/equipment,'0<=X<2000','<100','1<=X<4','female div/dep/mar','26<=X<36',1,skilled,1,good
173,'0<=X<200','delayed previously',furniture/equipment,'2000<=X<4000','<100',unemployed,'female div/dep/mar','26<=X<36',1,'high qualif/self emp/mgmt',1,bad
174,'0<=X<200','existing paid',radio/tv,'0<=X<2000','<100','1<=X<4','male single','26<=X<36',1,skilled,1,good
175,'<0','delayed previously',education,'2000<=X<4000','<100','<1','male single','26<=X<36',2,skilled,1,bad
176,'no checking','all paid','used car','6000<=X<8000','no known savings',unemployed,'female div/dep/mar','46<=X<56',1,'high qualif/self emp/mgmt',1,bad
177,'<0','existing paid',furniture/equipment,'2000<=X<4000','<100','1<=X<4','male div/sep','36<=X<46',1,skilled,1,good
178,'<0','critical/other existing credit',radio/tv,'0<=X<2000','500<=X<1000','>=7','male single','46<=X<56',2,skilled,1,good
179,'no checking','existing paid',radio/tv,'0<=X<2000','<100','4<=X<7','male single','26<=X<36',2,'high qualif/self emp/mgmt',2,good
180,'<0','critical/other existing credit','new car','0<=X<2000','<100','>=7','male single','56<=X<66',2,skilled,1,good
181,'no checking','delayed previously',business,'8000<=X<10000','<100','<1','male div/sep','26<=X<36',2,skilled,1,bad
182,'0<=X<200','delayed previously',business,'4000<=X<6000','<100','1<=X<4','male div/sep','26<=X<36',2,'high qualif/self emp/mgmt',1,bad
183,'<0','all paid','new car','0<=X<2000','no known savings','1<=X<4','male single','36<=X<46',2,'unskilled resident',2,bad
184,'no checking','critical/other existing credit',furniture/equipment,'2000<=X<4000','>=1000','1<=X<4','male single','46<=X<56',1,skilled,1,good
185,'0<=X<200','critical/other existing credit','new car','0<=X<2000','<100','>=7','male single','36<=X<46',1,skilled,2,bad
186,'no checking','critical/other existing credit',radio/tv,'0<=X<2000','<100','1<=X<4','male single','26<=X<36',2,skilled,1,good
187,'0<=X<200','all paid','used car','4000<=X<6000','<100','>=7','female div/dep/mar','66<=X<76',1,'high qualif/self emp/mgmt',2,bad
188,'0<=X<200','critical/other existing credit','new car','0<=X<2000','<100',unemployed,'male single','66<=X<76',3,'unemp/unskilled non res',1,good
189,'<0','existing paid',radio/tv,'0<=X<2000','100<=X<500','4<=X<7','male mar/wid','18<=X<26',1,skilled,1,bad
190,'0<=X<200','no credits/all paid',furniture/equipment,'2000<=X<4000','<100','1<=X<4','female div/dep/mar','26<=X<36',2,skilled,1,good
191,'no checking','existing paid',business,'4000<=X<6000','>=1000','1<=X<4','male single','46<=X<56',3,'high qualif/self emp/mgmt',1,bad
192,'0<=X<200','no credits/all paid',business,'2000<=X<4000','100<=X<500','4<=X<7','male single','26<=X<36',1,'unskilled resident',2,bad
193,'0<=X<200','existing paid',business,'2000<=X<4000','<100','1<=X<4','male single','36<=X<46',1,skilled,2,bad
194,'no checking','existing paid',radio/tv,'2000<=X<4000','<100','4<=X<7','male mar/wid','26<=X<36',1,skilled,1,good
195,'0<=X<200','existing paid',radio/tv,'2000<=X<4000','100<=X<500','1<=X<4','male single','18<=X<26',1,skilled,1,bad
196,'0<=X<200','critical/other existing credit',education,'0<=X<2000','<100','>=7','female div/dep/mar','26<=X<36',2,'high qualif/self emp/mgmt',1,bad
197,'no checking','critical/other existing credit',radio/tv,'0<=X<2000','<100','1<=X<4','female div/dep/mar','26<=X<36',2,skilled,1,good
198,'0<=X<200','existing paid',furniture/equipment,'0<=X<2000','100<=X<500','<1','female div/dep/mar','26<=X<36',4,skilled,1,bad
199,'0<=X<200','existing paid','used car','2000<=X<4000','no known savings','>=7','male single','36<=X<46',1,skilled,1,good
200,'0<=X<200','delayed previously',furniture/equipment,'4000<=X<6000','<100','>=7','male div/sep','36<=X<46',1,'high qualif/self emp/mgmt',1,bad
201,'no checking','critical/other existing credit',education,'0<=X<2000','500<=X<1000','>=7','male single','46<=X<56',2,skilled,1,good
202,'<0','existing paid','new car','0<=X<2000','<100','1<=X<4','male mar/wid','26<=X<36',1,'unskilled resident',1,good
203,'no checking','delayed previously',business,'4000<=X<6000','<100','4<=X<7','male single','26<=X<36',2,skilled,1,good
204,'<0','existing paid',retraining,'0<=X<2000','<100','4<=X<7','male mar/wid','18<=X<26',1,skilled,1,bad
205,'no checking','critical/other existing credit','new car','0<=X<2000','<100','>=7','male single','36<=X<46',2,'unskilled resident',2,good
206,'<0','critical/other existing credit','used car','10000<=X<12000','<100','>=7','male single','36<=X<46',3,'high qualif/self emp/mgmt',2,good
207,'no checking','critical/other existing credit',furniture/equipment,'0<=X<2000','<100','>=7','male single','36<=X<46',3,skilled,1,good
208,'0<=X<200','critical/other existing credit','domestic appliance','0<=X<2000','<100','4<=X<7','male single','26<=X<36',1,skilled,1,good
209,'<0','existing paid',business,'6000<=X<8000','<100','1<=X<4','male mar/wid','18<=X<26',1,'unskilled resident',1,good
210,'no checking','existing paid','used car','0<=X<2000','>=1000','4<=X<7','male single','46<=X<56',1,skilled,1,good
211,'no checking','critical/other existing credit',radio/tv,'2000<=X<4000','no known savings','1<=X<4','male single','26<=X<36',2,skilled,2,good
212,'no checking','existing paid',radio/tv,'2000<=X<4000','no known savings','>=7','female div/dep/mar','36<=X<46',1,'unskilled resident',1,good
213,'<0','no credits/all paid',business,'4000<=X<6000','<100',unemployed,'male single','46<=X<56',2,skilled,1,bad
214,'>=200','delayed previously',business,'0<=X<2000','<100','>=7','male single','66<=X<76',1,'high qualif/self emp/mgmt',1,bad
215,'no checking','critical/other existing credit',radio/tv,'2000<=X<4000','no known savings','>=7','male single','46<=X<56',1,skilled,1,good
216,'0<=X<200','critical/other existing credit',retraining,'0<=X<2000','no known savings','4<=X<7','female div/dep/mar','36<=X<46',2,'unskilled resident',1,good
217,'<0','no credits/all paid',business,'2000<=X<4000','<100','4<=X<7','male single','26<=X<36',1,skilled,1,good
218,'>=200','existing paid',radio/tv,'2000<=X<4000','<100','1<=X<4','male single','18<=X<26',1,skilled,1,good
219,'<0','existing paid',furniture/equipment,'2000<=X<4000','<100','1<=X<4','male div/sep','18<=X<26',1,'unskilled resident',1,good
220,'no checking','existing paid','new car','0<=X<2000','<100','1<=X<4','female div/dep/mar','56<=X<66',1,skilled,1,good
